Offizieller_Name;streetAddress;postalCode;addressLocality;Telefon;Email;Fax;Internet;Handelsregister;Rechtsform;Hauptsitz;Firmengründung;Inhaber;Geschäftsführung;Branche;Unternehmensgegendstand;Umsatzsteuer-Id;Mitarbeiter;Stammkapital
Klein, Bertelt, Klein Rechtsanwälte in Partnerschaft;Dillinger Strasse 18;66701;Beckingen;+49 (06835) 92351;info@rakbk.de;+49 (0681) 9235120;www.rakbk.de;PR 81, Amtsgericht Saarbrücken;n/a;Beckingen;2007;n/a;n/a;Rechtsanwälte und Anwaltskanzleien;n/a;n/a;n/a;n/a
Puhl GmbH;SÃ¼dstrasse 6;66701;Beckingen;+49 (06835) 9220 0;info@spedition-puhl.de;+49 (06835) 922020;www.puhl.eu;HRB 63518, Amtsgericht SaarbrÃ¼cken;GmbH: Gesellschaft mit beschrÃ¤nkter Haftung;Beckingen;n/a;n/a;Manfred Puhl, Stefan Puhl;Speditionen / Bauunternehmen;n/a;DE137970178;40 in Deutschland;n/a
Cass - Tech - GmbH;Kapellenstrasse 51;66701;Beckingen;+49 (06832) 8080530;info@cass-tech.de;+49 (06832) 8080529;www.cass-tech.de;HRB 19163, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;2011;n/a;n/a;Stahlbau und Leichtmetallbau;n/a;n/a;n/a;25.000 Euro
Malermeister + Stuckateurbetrieb Arno Schorn GmbH;Auf Schlädt 24;66701;Beckingen;+49 (06832) 1314;info@malermeisterschorn.de;+49 (06832) 128300;www.malermeisterschorn.de;HRB 18614, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;2010;n/a;n/a;Maler und Lackierer;n/a;n/a;n/a;25.000 Euro
FST Logistik GmbH;Auf der Heide 46 b;66701;Beckingen;+49 (06832) 8080460;luttermann@fst-gmbh.de;+49 (06832) 80563;www.fst-gmbh.de;HRB 18570, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;2010;n/a;n/a;Logistik;n/a;n/a;n/a;25.000 Euro
reaktiv 2010 UG (haftungsbeschränkt);Ahornweg 15;66701;Beckingen;+49 (06835) 6070181;info@reaktiv2010.de;+49 (06835) 6070180;www.reaktiv2010.de;HRB 19016, Amtsgericht Saarbrücken;UG (haftungsbeschränkt): Unternehmergesellschaft (haftungsbeschränkt);Beckingen;2010;n/a;n/a;Dienstleistungen a.n.g.;n/a;n/a;n/a;n/a
Autoteile Glauben GmbH;Brückenstrasse 13;66701;Beckingen;+49 (06835) 8696;info@autoteile-glauben.de;+49 (06835) 67439;www.autoteile-glauben.de;HRB 16807, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;n/a;Handel mit Ersatzteilen und Zubehör für Autos, Nutzfahrzeuge, LKW etc.;n/a;n/a;n/a;n/a
MHT Federspiel Heizung + Sanitär GmbH;Auf dem Gehren 23;66701;Beckingen;+49 (06832) 7187;n/a;+49 (06832) 800037;n/a;HRB 16176, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;2007;n/a;Federspiel, Bernd, Beckingen;Klempnerei, Gasinstallation, Wasserinstallation, Heizungsinstallation und Lüftungsinstallation;n/a;n/a;n/a;25.000 Euro
Martin Söther GmbH;Haustadter-Tal-Strasse 248;66701;Beckingen;+49 (06835) 2647;n/a;+49 (06835) 67864;www.schreinerei-soether.de;HRB 17515, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;n/a;Bautischlerei und Bauschlosserei;n/a;n/a;n/a;n/a
Achten GmbH;Rehlinger Strasse 18;66701;Beckingen;+49 (06835) 500650;n/a;n/a;n/a;HRB 19210, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;2011;n/a;n/a;Herstellung von Konstruktionsteilen, Fertigbauteilen, Ausbauelementen und Fertigteilbauten aus Holz;n/a;n/a;n/a;5.000 Euro
B. Manstein GmbH;Hauptstrasse 113;66701;Beckingen;+49 (06832) 1313;manstein-beckingen@t-online.de;+49 (06832) 7146;manstein-forst.de;HRB 63571, Amtsgericht SaarbrÃ¼cken;GmbH: Gesellschaft mit beschrÃ¤nkter Haftung;Beckingen;n/a;n/a;n/a;KlÃ¤ranlagen;n/a;DE137970508;n/a;n/a
Brigitta + Josef Schwinn Geschäftsführungs GmbH;Johanneshof;66701;Beckingen;+49 (06832) 478;n/a;+49 (06832) 1611;n/a;HRB 16343, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;Schwinn, Bodo, Beckingen;Verwaltung und Management von Unternehmen und Betrieben;n/a;n/a;n/a;n/a
FuGo FussballGolf GmbH;Weidenweg 1;66701;Beckingen;+49 (06835) 608106;n/a;+49 (06835) 608121;n/a;HRB 19194, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;2011;n/a;n/a;Betrieb von Stadien und Sportanlagen;n/a;n/a;n/a;25.000 Euro
Günther Kaiser GmbH + Co. KG;Rehlinger Strasse 19;66701;Beckingen;+49 (06835) 92310;info@kaiser-hochbau.de;+49 (06835) 923118;www.kaiser-hochbau.de;HRA 61365, Amtsgericht Saarbrücken;GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft;Beckingen;n/a;n/a;n/a;Hoch- und Tiefbau ohne ausgeprägten Schwerpunkt;n/a;n/a;n/a;n/a
Holztechnik HAUPERT UG (haftungsbeschränkt);Ulmenweg 2 a;66701;Beckingen;+49 (06835) 67154;n/a;n/a;n/a;HRB 18322, Amtsgericht Saarbrücken;UG (haftungsbeschränkt): Unternehmergesellschaft (haftungsbeschränkt);Beckingen (Ortsteil Honzrath);2010;n/a;n/a;Ingenieurbüros für technische Fachplanung;n/a;n/a;n/a;5.000 Euro
Müllenbach Reisen GmbH;Herrenschwamm 4;66701;Beckingen;+49 (06832) 354;kontakt@muellenbach-reisen.de;+49 (06832) 80233;www.muellenbach-reisen.de;HRB 14124, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;n/a;Busunternehmen;n/a;n/a;n/a;n/a
Schommer GmbH;Taubenweg 10;66701;Beckingen;n/a;info@schommer-gmbh.com;n/a;www.schommer-gmbh.com;HRB 19693, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;2011;n/a;n/a;Personalvermittlung, Arbeitsvermittlung, Personalservice, Zeitarbeit;n/a;n/a;n/a;n/a
Susanne Werding e.K.;Talstrasse 244/266;66701;Beckingen;+49 (06835) 2113;n/a;+49 (06835) 1061;n/a;HRA 10805, Amtsgericht Saarbrücken;e.K.: Eingetragener Kaufmann/Eingetragene Kauffrau (auch e.Kfm. oder e.Kffr.);Beckingen;2010;n/a;n/a;Einzelhandel mit Möbeln, Möbelhäuser;n/a;n/a;n/a;n/a
F + Z Bau GmbH;Am Zollstock 1;66701;Beckingen;+49 (06832) 809;n/a;+49 (06832) 80920;n/a;HRB 17362, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;n/a;Hoch- und Tiefbau ohne ausgeprägten Schwerpunkt;n/a;n/a;n/a;n/a
